City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,79.74,scattered clouds,-9.8,-139.0333,Villa Enata
10,Bien Hoa,VN,78.8,scattered clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
12,Basco,PH,75.74,broken clouds,20.4487,121.9702,Nathaniel's Lodge
20,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
22,Monrovia,LR,77.0,few clouds,6.3005,-10.7969,Sunset Inn
32,Port Blair,IN,79.07,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
34,Hilo,US,75.2,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
37,Saint George,US,75.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
42,Bambous Virieux,MU,78.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
46,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,Poum,NC,78.48,clear sky,-20.2333,164.0167,Gîte kajeon
48,Tsabong,BW,77.9,scattered clouds,-26.0217,22.401,Springbok Motel
53,Tamandare,BR,79.21,clear sky,-8.7597,-35.1047,Pousada 100 Passos
55,Grand Gaube,MU,78.01,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
66,Ixtapa,MX,78.8,clear sky,20.7,-105.2,Hotel Plaza Providencia
69,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
71,Ballina,AU,77.0,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
77,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
84,Geraldton,AU,77.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
96,Mar Del Plata,AR,77.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
97,Kochi,IN,78.8,mist,9.9399,76.2602,Hotel Abad
98,Pemba,MZ,75.2,moderate rain,-12.974,40.5178,Guesthouse Samotina
100,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
