City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,79.74,73,26,11.45,scattered clouds
1,Provideniya,RU,64.3833,-173.3,33.66,93,100,19.3,snow
2,Norman Wells,CA,65.282,-126.8329,1.4,66,75,20.71,broken clouds
3,Khandbari,NP,27.3747,87.2039,56.25,42,2,3.62,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,84.2,74,20,14.97,light rain
5,General Pico,AR,-35.6566,-63.7568,88.5,32,91,10.65,moderate rain
6,Arya,PK,33.6,73.0667,63.0,66,2,5.5,clear sky
7,Vestmannaeyjar,IS,63.4427,-20.2734,43.97,81,88,25.72,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,80.47,81,100,19.91,moderate rain
9,Thompson,CA,55.7435,-97.8558,42.8,49,20,12.66,few clouds
10,Bien Hoa,VN,10.95,106.8167,78.8,69,40,4.61,scattered clouds
11,Butaritari,KI,3.0707,172.7902,80.69,80,2,11.23,clear sky
12,Basco,PH,20.4487,121.9702,75.74,84,51,19.89,broken clouds
13,Doha,QA,25.2867,51.5333,64.4,59,0,4.61,clear sky
14,Dong Hoi,VN,17.4833,106.6,70.39,92,81,2.46,broken clouds
15,Hobart,AU,-42.8794,147.3294,63.0,82,75,6.91,broken clouds
16,Muros,ES,42.7762,-9.0603,43.0,73,1,15.55,clear sky
17,Albany,US,42.6001,-73.9662,28.99,39,62,13.0,broken clouds
18,Broome,US,42.2506,-75.833,24.8,46,1,11.5,clear sky
19,New Norfolk,AU,-42.7826,147.0587,63.0,75,99,1.74,overcast clouds
20,Salalah,OM,17.0151,54.0924,77.0,50,0,2.3,clear sky
21,Ushuaia,AR,-54.8,-68.3,44.6,70,40,28.77,scattered clouds
22,Monrovia,LR,6.3005,-10.7969,77.0,94,20,8.05,few clouds
23,Saskylakh,RU,71.9167,114.0833,-32.78,83,84,3.74,broken clouds
24,Teykovo,RU,56.858,40.5369,15.8,97,72,3.94,light snow
25,Kavieng,PG,-2.5744,150.7967,82.02,79,100,9.91,moderate rain
26,Taonan,CN,45.3333,122.7833,25.57,78,38,7.61,scattered clouds
27,Karratha,AU,-20.7377,116.8463,80.85,79,2,11.07,clear sky
28,Kodiak,US,57.79,-152.4072,42.8,52,1,12.66,clear sky
29,Ziarat,PK,30.3823,67.7282,38.71,53,0,6.2,clear sky
30,Gaozhou,CN,21.9392,110.8461,68.34,76,98,6.02,overcast clouds
31,Beisfjord,NO,68.3751,17.5988,19.4,86,90,6.04,light snow
32,Port Blair,IN,11.6667,92.75,79.07,77,4,8.34,clear sky
33,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,40,16.11,snow
34,Hilo,US,19.7297,-155.09,75.2,73,75,5.75,broken clouds
35,Port Alfred,ZA,-33.5906,26.891,68.0,89,15,1.01,few clouds
36,Vaini,TO,-21.2,-175.2,86.0,74,75,11.5,light rain
37,Saint George,US,37.1041,-113.5841,75.0,14,1,6.91,clear sky
38,Radenci,SI,46.642,16.0378,32.0,74,52,1.14,broken clouds
39,Ilulissat,GL,69.2167,-51.1,19.4,68,90,11.5,overcast clouds
40,Brae,GB,60.3964,-1.353,41.0,75,75,13.8,broken clouds
41,Tura,IN,25.5198,90.2201,64.62,43,0,3.29,clear sky
42,Bambous Virieux,MU,-20.3428,57.7575,78.01,88,40,5.75,scattered clouds
43,Busselton,AU,-33.65,115.3333,64.0,88,98,1.99,light rain
44,Acapulco,MX,16.8634,-99.8901,84.2,70,1,12.66,clear sky
45,Coaldale,CA,49.7167,-112.6185,48.99,27,40,19.57,scattered clouds
46,Mahebourg,MU,-20.4081,57.7,77.0,88,40,5.75,light rain
47,Poum,NC,-20.2333,164.0167,78.48,74,7,7.18,clear sky
48,Tsabong,BW,-26.0217,22.401,77.9,29,26,11.61,scattered clouds
49,Curumani,CO,9.1999,-73.5427,87.8,51,82,5.73,broken clouds
50,Bluff,NZ,-46.6,168.3333,55.99,69,92,11.99,overcast clouds
51,Khatanga,RU,71.9667,102.5,-30.82,85,88,7.18,overcast clouds
52,Komsomolskiy,UZ,40.4272,71.7189,39.2,81,78,2.3,mist
53,Tamandare,BR,-8.7597,-35.1047,79.21,80,0,9.04,clear sky
54,Elizabeth City,US,36.2946,-76.2511,48.2,34,1,11.5,clear sky
55,Grand Gaube,MU,-20.0064,57.6608,78.01,82,59,1.01,broken clouds
56,Kudahuvadhoo,MV,2.6708,72.8944,82.15,72,2,9.15,clear sky
57,Sur,OM,22.5667,59.5289,73.2,47,0,5.59,clear sky
58,Dayong,CN,25.0209,118.2898,57.2,82,0,8.95,clear sky
59,Lerwick,GB,60.1545,-1.1494,41.0,75,75,13.8,broken clouds
60,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,5.0,43,0,11.18,clear sky
61,Esperance,AU,-33.8667,121.9,62.6,88,90,3.44,overcast clouds
62,Ancud,CL,-41.8697,-73.8203,64.4,55,20,8.05,few clouds
63,Mandalgovi,MN,45.7625,106.2708,24.69,82,0,4.36,clear sky
64,Gravata,BR,-8.2011,-35.5647,71.91,89,0,6.89,clear sky
65,Akonolinga,CM,3.7667,12.25,69.42,94,65,2.91,broken clouds
66,Ixtapa,MX,20.7,-105.2,78.8,65,1,12.66,clear sky
